origin_date,forecast_date,horizon_step,y_true,y_pred,residual
2020-12-29,2020-12-30,1,225.23,226.21048289767094,-0.980482897670953
2020-12-30,2020-12-31,1,221.7,225.38939994626222,-3.6893999462622276
2020-12-31,2021-01-04,1,222.53,222.2438590083316,0.2861409916683897
2021-01-04,2021-01-05,1,217.26,223.45512432370057,-6.195124323700583
2021-01-05,2021-01-06,1,212.17,216.97325008530873,-4.803250085308747
2021-01-06,2021-01-07,1,214.04,212.7043725720575,1.3356274279424838
2021-01-07,2021-01-08,1,218.68,214.53140492927608,4.148595070723928
2021-01-08,2021-01-11,1,218.47,219.13678075783537,-0.6667807578353688
2021-01-11,2021-01-12,1,216.5,217.3009095723711,-0.8009095723710971
2021-01-12,2021-01-13,1,214.02,216.09973843629433,-2.0797384362943205
2021-01-13,2021-01-14,1,215.91,215.0787362288356,0.8312637711644015
2021-01-14,2021-01-15,1,213.52,216.7753552431124,-3.2553552431123762
2021-01-15,2021-01-19,1,213.75,213.67200688828913,0.07799311171086742
2021-01-19,2021-01-20,1,217.7,214.83550529166067,2.864494708339322
2021-01-20,2021-01-21,1,224.7,216.29683985285126,8.403160147148725
2021-01-21,2021-01-22,1,227.08,224.62386044340096,2.456139556599055
2021-01-22,2021-01-25,1,229.12,227.93936533539414,1.1806346646058614
2021-01-25,2021-01-26,1,231.86,227.6005420773957,4.2594579226043265
2021-01-26,2021-01-27,1,238.0,232.62871303711185,5.371286962888149
2021-01-27,2021-01-28,1,235.61,238.84082030502188,-3.230820305021865
2021-01-28,2021-01-29,1,235.99,237.19469904560762,-1.2046990456076117
2021-01-29,2021-02-01,1,235.06,235.8291743340555,-0.7691743340554922
2021-02-01,2021-02-02,1,241.3,235.0143429368779,6.285657063122102
2021-02-02,2021-02-03,1,239.57,241.90893316758834,-2.338933167588351
2021-02-03,2021-02-04,1,242.66,240.2107972653303,2.449202734669683
2021-02-04,2021-02-05,1,242.23,242.06885697692294,0.1611430230770452
2021-02-05,2021-02-08,1,243.15,242.9127610984895,0.23723890151049432
2021-02-08,2021-02-09,1,241.87,243.9379170363084,-2.067917036308387
2021-02-09,2021-02-10,1,245.0,242.33775742765766,2.662242572342336
2021-02-10,2021-02-11,1,244.78,243.64384018269106,1.1361598173089362
2021-02-11,2021-02-12,1,243.93,244.20943198262572,-0.27943198262570945
2021-02-12,2021-02-16,1,245.03,245.18305847597284,-0.15305847597284128
2021-02-16,2021-02-17,1,241.32,245.82942600593623,-4.509426005936234
2021-02-17,2021-02-18,1,241.8,241.49607677974697,0.30392322025303997
2021-02-18,2021-02-19,1,243.75,243.18397971393514,0.5660202860648553
2021-02-19,2021-02-22,1,237.42,242.6419264218448,-5.221926421844813
2021-02-22,2021-02-23,1,230.33,237.4765125594728,-7.1465125594727965
2021-02-23,2021-02-24,1,230.01,231.2661108095259,-1.2561108095259215
2021-02-24,2021-02-25,1,232.08,228.71758394805983,3.362416051940187
2021-02-25,2021-02-26,1,231.53,233.1524261677653,-1.6224261677652976
2021-02-26,2021-03-01,1,235.9,232.16262106739396,3.737378932606049
2021-03-01,2021-03-02,1,237.01,237.41786344455818,-0.40786344455818835
2021-03-02,2021-03-03,1,232.16,236.804531394833,-4.644531394832995
2021-03-03,2021-03-04,1,226.74,232.46553112471568,-5.725531124715673
2021-03-04,2021-03-05,1,229.52,227.18144274324735,2.338557256752665
2021-03-05,2021-03-08,1,231.37,230.2704748279748,1.09952517202521
2021-03-08,2021-03-09,1,232.88,230.8156553772129,2.064344622787104
2021-03-09,2021-03-10,1,237.0,233.55082920387687,3.449170796123127
2021-03-10,2021-03-11,1,234.96,237.64873438723524,-2.688734387235229
2021-03-11,2021-03-12,1,234.01,235.56492220714873,-1.554922207148735
2021-03-12,2021-03-15,1,234.96,232.77870712308032,2.1812928769196844
2021-03-15,2021-03-16,1,236.28,234.39629006958657,1.8837099304134313
2021-03-16,2021-03-17,1,236.15,237.48511600809385,-1.3351160080938484
2021-03-17,2021-03-18,1,232.56,236.66048055539926,-4.100480555399258
2021-03-18,2021-03-19,1,231.02,232.74624536990925,-1.7262453699092362
2021-03-19,2021-03-22,1,230.27,232.37344244220532,-2.1034424422053064
2021-03-22,2021-03-23,1,237.49,228.9365110227726,8.553488977227403
2021-03-23,2021-03-24,1,237.85,237.14714734794762,0.7028526520523712
2021-03-24,2021-03-25,1,235.3,238.7487543790239,-3.4487543790238817
2021-03-25,2021-03-26,1,231.55,234.1575262306181,-2.6075262306180775
2021-03-26,2021-03-29,1,236.59,232.53337437556772,4.056625624432286
2021-03-29,2021-03-30,1,233.53,237.43793202409174,-3.9079320240917355
2021-03-30,2021-03-31,1,232.91,235.01011253760788,-2.1001125376078846
