origin_date,forecast_date,horizon_step,y_true,y_pred,residual
2020-12-29,2020-12-30,1,225.23,225.38767019841262,-0.15767019841263163
2020-12-30,2020-12-31,1,221.7,222.1663424206349,-0.46634242063490206
2020-12-31,2021-01-04,1,222.53,221.67721027777785,0.8527897222221554
2021-01-04,2021-01-05,1,217.26,216.87612761904762,0.38387238095236853
2021-01-05,2021-01-06,1,212.17,217.24368589826844,-5.073685898268451
2021-01-06,2021-01-07,1,214.04,211.9203415223665,2.119658477633493
2021-01-07,2021-01-08,1,218.68,215.45530449248122,3.2246955075187884
2021-01-08,2021-01-11,1,218.47,218.07014698412704,0.3998530158729636
2021-01-11,2021-01-12,1,216.5,216.79855337662323,-0.2985533766232322
2021-01-12,2021-01-13,1,214.02,213.67933453284206,0.34066546715794743
2021-01-13,2021-01-14,1,215.91,215.35299329859572,0.5570067014042763
2021-01-14,2021-01-15,1,213.52,213.96707421918768,-0.44707421918766954
2021-01-15,2021-01-19,1,213.75,213.01466864963467,0.7353313503653283
2021-01-19,2021-01-20,1,217.7,215.46860510012854,2.2313948998714466
2021-01-20,2021-01-21,1,224.7,223.12007543650807,1.5799245634919146
2021-01-21,2021-01-22,1,227.08,225.35544150793655,1.7245584920634656
2021-01-22,2021-01-25,1,229.12,226.62581936507937,2.494180634920639
2021-01-25,2021-01-26,1,231.86,227.70563801587303,4.154361984126979
2021-01-26,2021-01-27,1,238.0,229.02511496031752,8.974885039682476
2021-01-27,2021-01-28,1,235.61,233.60911003968258,2.000889960317437
2021-01-28,2021-01-29,1,235.99,233.86063480158734,2.129365198412671
2021-01-29,2021-02-01,1,235.06,234.32671477633482,0.7332852236651775
2021-02-01,2021-02-02,1,241.3,234.5663876190477,6.733612380952309
2021-02-02,2021-02-03,1,239.57,236.85544210317468,2.714557896825312
2021-02-03,2021-02-04,1,242.66,237.77706353174617,4.882936468253831
2021-02-04,2021-02-05,1,242.23,238.87573388888893,3.354266111111059
2021-02-05,2021-02-08,1,243.15,240.45299476190488,2.69700523809513
2021-02-08,2021-02-09,1,241.87,240.97982896825394,0.890171031746064
2021-02-09,2021-02-10,1,245.0,241.589595,3.4104049999999972
2021-02-10,2021-02-11,1,244.78,242.89889277056278,1.8811072294372195
2021-02-11,2021-02-12,1,243.93,243.57226251082244,0.3577374891775662
2021-02-12,2021-02-16,1,245.03,243.57516563492067,1.4548343650793356
2021-02-16,2021-02-17,1,241.32,244.1675323268397,-2.847532326839712
2021-02-17,2021-02-18,1,241.8,243.62381309523803,-1.8238130952380232
2021-02-18,2021-02-19,1,243.75,242.34048786796532,1.4095121320346777
2021-02-19,2021-02-22,1,237.42,242.8823919552669,-5.462391955266924
2021-02-22,2021-02-23,1,230.33,238.26378789682533,-7.933787896825322
2021-02-23,2021-02-24,1,230.01,234.0876426515152,-4.0776426515152195
2021-02-24,2021-02-25,1,232.08,230.96987939754683,1.1101206024531791
2021-02-25,2021-02-26,1,231.53,232.23571660533926,-0.7057166053392621
2021-02-26,2021-03-01,1,235.9,232.10422077200582,3.7957792279941884
2021-03-01,2021-03-02,1,237.01,234.9604843362193,2.0495156637806815
2021-03-02,2021-03-03,1,232.16,235.78704153318895,-3.627041533188958
2021-03-03,2021-03-04,1,226.74,232.02657069985577,-5.2865706998557584
2021-03-04,2021-03-05,1,229.52,229.35012304473304,0.16987695526697166
2021-03-05,2021-03-08,1,231.37,230.6679465873017,0.7020534126982909
2021-03-08,2021-03-09,1,232.88,229.75130196969715,3.128698030302843
2021-03-09,2021-03-10,1,237.0,234.0350202777778,2.9649797222222105
2021-03-10,2021-03-11,1,234.96,235.37542618326106,-0.4154261832610473
2021-03-11,2021-03-12,1,234.01,235.91649288961034,-1.9064928896103481
2021-03-12,2021-03-15,1,234.96,235.04955165223654,-0.08955165223653694
2021-03-15,2021-03-16,1,236.28,235.0494446789322,1.2305553210678113
2021-03-16,2021-03-17,1,236.15,235.76725230769225,0.38274769230775973
2021-03-17,2021-03-18,1,232.56,235.3818027777778,-2.8218027777778047
2021-03-18,2021-03-19,1,231.02,233.51310551587324,-2.493105515873225
2021-03-19,2021-03-22,1,230.27,231.7813601984128,-1.5113601984128024
2021-03-22,2021-03-23,1,237.49,233.14824571428576,4.341754285714245
2021-03-23,2021-03-24,1,237.85,235.22475075396827,2.6252492460317285
2021-03-24,2021-03-25,1,235.3,234.98620948412685,0.31379051587316553
2021-03-25,2021-03-26,1,231.55,234.60770523809518,-3.057705238095167
2021-03-26,2021-03-29,1,236.59,234.4431887337661,2.1468112662338967
2021-03-29,2021-03-30,1,233.53,235.23554714285703,-1.7055471428570286
2021-03-30,2021-03-31,1,232.91,232.37196484126983,0.5380351587301675
